C:\ICPMH\1\DATA\15J30l00.B\C4-F_A.D
Intensity Vs Time,CPS
Acquired      : Oct 30 2015  01:10:04 pm using AcqMethod 103015JF.m
Time [Sec],B11,Mg24,Mg25,Al27,Ca43,Ca44,Sr86,Sr87,Sr88,Ba138
38.208,440.01,318352.42,44405.32,10102.87,543318.92,8057400.18,220221.23,287316.28,1488083.24,4840.72
38.546,420.00,329791.02,52151.28,5600.88,539022.73,9060804.89,192452.97,275319.47,1389917.09,4900.74
38.884,400.00,344668.66,45859.00,7701.67,518243.79,8261830.65,191374.16,250573.09,1352675.81,5440.91
39.222,260.00,353064.01,46209.90,10403.04,501878.07,8229901.75,193902.67,240393.84,1372875.42,4460.61
39.560,460.01,375856.58,49719.33,7101.42,505067.72,7958732.99,221200.51,231774.96,1344422.17,5140.81
39.898,280.00,394077.29,58019.40,7101.42,566536.34,8431029.88,199567.84,204729.81,1399784.80,5701.00
40.236,480.01,439727.06,56890.77,6301.12,489330.97,8367538.47,198083.92,208610.05,1439280.50,5100.80
40.574,400.00,452507.86,65445.08,6601.23,511277.13,7812566.58,197038.53,196230.10,1551156.02,6921.47
40.912,300.00,508761.89,76263.01,7101.42,485150.60,9539397.09,194273.54,196735.93,1462422.56,5260.85
41.250,380.00,551127.88,70614.78,6901.34,477957.14,8130688.46,205234.90,203312.90,1448741.70,6361.24
41.588,400.00,554118.50,71894.89,8902.23,477648.84,8074696.27,201321.75,166144.19,1715198.74,7241.61
41.926,340.00,522724.20,73677.16,6701.26,470047.60,8124784.56,196296.64,156620.76,1498931.93,7241.61
42.264,400.00,517474.23,84675.93,5500.85,499511.99,7718220.49,199230.59,171059.40,1436543.39,7981.96
42.602,480.01,520527.84,67979.55,8602.08,483026.48,7753805.64,193160.94,146228.47,1413885.97,7021.51
42.941,480.01,476213.85,64867.98,8101.85,481930.25,7901381.43,196296.64,146362.98,1402278.94,6981.50
43.279,400.00,470532.50,61330.47,6501.19,467275.04,7653853.30,190295.46,134364.15,1532504.59,6981.50
43.617,320.00,460645.78,58671.53,7401.54,484670.91,7892367.36,194475.83,169342.27,1367967.74,7681.81
43.955,440.01,443724.33,60778.58,7101.42,452255.67,7266336.10,195993.15,124086.18,1358877.50,8102.01
44.293,460.01,426614.01,58169.89,9402.49,458788.71,7700358.77,195251.37,121702.32,1316266.31,6901.46
44.631,260.00,424668.27,54608.64,6801.30,440324.49,7217204.07,216979.79,172978.76,1340819.17,7941.94
44.969,320.00,512843.05,53430.07,6001.01,523839.69,7429208.76,198320.01,122675.97,1340314.74,9102.54
45.307,280.00,357722.24,57618.10,8101.85,483540.38,8675764.26,187599.03,148851.16,1317273.86,8182.05
45.645,340.00,332779.14,44380.26,6801.30,457830.84,7406965.01,190834.82,115291.01,1317849.38,7761.85
45.983,200.00,316554.14,41723.84,5200.76,451469.12,7201031.41,192452.97,152516.88,1235076.46,8242.08
46.321,360.00,277172.76,35986.34,5700.91,442511.83,8544112.69,183083.37,114552.71,1259444.30,7001.50
46.659,440.01,246087.91,34884.15,5800.95,459438.71,7187776.72,184902.93,184836.35,1260663.44,7161.57
46.997,360.00,236830.36,29824.96,8001.80,447126.67,7631528.30,185745.43,116667.07,1243923.86,7661.80
47.335,320.00,270064.82,29950.17,7301.50,448083.96,7011178.28,184296.41,119654.48,1214462.14,7441.70
47.673,300.00,190142.60,26094.11,6001.01,446648.02,7328064.23,184363.79,107506.76,1258296.90,8001.97
48.011,320.00,182395.56,25468.20,9102.33,426181.55,7330100.95,211275.12,110626.74,1239481.67,7421.69
48.349,380.00,180981.25,22188.82,5800.95,456154.67,6721254.06,174291.41,107473.20,1238299.77,7961.95
48.687,340.00,180947.58,22789.58,5900.98,443776.54,7312798.60,173314.82,107674.49,1321267.74,7201.59
49.025,340.00,166104.07,20787.13,7101.42,431065.37,7075190.78,170048.65,101670.88,1178266.56,7521.74
49.363,600.01,148583.69,21688.21,6301.12,414438.49,7627834.55,231334.43,102576.34,1186656.54,8482.21
49.701,480.01,151642.61,18259.36,7301.50,430621.36,6641055.62,181466.12,140547.35,1209133.36,7461.71
50.039,380.00,141963.35,18859.99,6701.26,426215.70,7202291.57,184970.33,111700.42,1252739.74,8082.00
50.377,200.00,122016.38,18885.01,7501.58,425635.13,7662321.27,163720.12,103381.19,1155793.39,6941.48
50.715,300.00,129804.49,16082.26,7701.67,430484.71,6581742.33,175133.34,106164.99,1209991.56,7641.79
51.053,480.01,123493.18,18509.62,7301.50,421640.41,6879868.12,190969.67,100396.65,1161248.46,7661.80
51.391,360.00,118291.42,17383.48,8301.94,526483.74,6343166.55,170149.65,98820.76,1175589.48,9042.51
51.729,420.00,117553.20,16157.33,6201.08,408808.67,6877483.75,171833.17,98854.29,1187085.05,9322.67
52.067,380.00,176806.29,15932.13,6301.12,423859.64,6884666.56,174358.78,95401.22,1121924.63,8302.11
52.405,320.00,114231.71,16457.60,7001.38,414813.91,6558381.40,162340.34,99390.75,1097853.93,7681.81
52.743,340.00,122721.21,17733.83,7401.54,395815.70,8600284.57,173853.60,103280.58,1127369.17,9162.58
53.082,480.01,115171.06,16157.33,8301.94,401816.51,6487017.33,162306.63,139371.02,1137373.07,9822.96
53.420,360.00,119935.67,16257.42,8702.13,416144.83,6496770.46,165503.99,101100.82,1165528.28,9722.90
53.758,420.00,118928.97,20837.19,6201.08,396770.32,6558070.46,164056.71,96641.57,1118224.76,8162.04
54.096,440.01,122989.72,14981.30,8401.99,456154.67,6530965.38,163282.62,100597.84,1109902.89,9122.55
54.434,440.01,108864.94,14981.30,7801.71,419489.76,6697941.56,180354.35,103347.66,1118189.22,9582.82
54.772,420.00,108697.25,14405.83,6201.08,414643.21,6688114.21,164292.29,136850.61,1122991.95,9762.92
55.110,380.00,108060.05,15907.10,5800.95,414404.37,6524514.99,181937.81,98049.64,1131569.43,9482.76
55.448,420.00,103935.61,14055.55,6201.08,428742.82,6473061.47,169206.95,98552.52,1126728.41,9662.86
55.786,260.00,97633.47,12879.66,9402.49,419421.53,6156237.25,154130.86,98317.84,1065586.48,8502.22
56.124,440.01,105746.24,12679.52,6701.26,438820.88,6636567.34,157057.52,94697.32,1112889.74,8142.03
56.462,500.01,232338.47,12804.60,7401.54,459917.72,6720440.78,186891.23,92652.70,1074774.24,7601.77
56.800,400.00,94483.20,12454.36,5600.88,411879.27,6727455.62,158706.12,95200.11,1155650.94,7461.71
57.138,480.01,95287.48,11803.91,6801.30,415803.56,7350475.95,164898.13,99390.75,1051795.99,7521.74
57.476,500.01,112889.85,12579.44,6001.01,428230.54,6840004.84,182443.18,133053.87,1046162.52,7521.74
57.814,420.00,93109.34,11428.67,5700.91,395202.16,6468641.16,158436.95,92149.98,1089151.00,6421.27
58.152,320.00,102561.04,11929.00,5500.85,382185.07,8134090.81,153659.95,89938.14,1039787.00,6581.33
58.490,160.00,112118.35,20962.34,7001.38,386784.29,6098643.50,176009.02,84778.30,1030369.81,5560.95
58.828,420.00,92271.67,13605.20,7901.76,374692.75,6178381.78,148514.38,89368.48,1038547.61,6201.18
59.166,740.02,95253.97,14430.85,6601.23,391282.37,6268003.66,162474.92,90909.96,1063777.82,5140.81
