C:\ICPMH\1\DATA\12G13l01.B\414_3.D
Intensity Vs Time,CPS
Acquired      : Jul 13 2012  03:33:51 pm using AcqMethod Spider3.m
Time [Sec],Mg24,Mg25,Al27,Ca43,Ca44,Mn55,Sr88,Ba138
31.637,56790.38,7434.89,1600.07,93716.33,1348273.47,5400.84,206653.94,366.67
31.873,57994.25,7334.85,2300.15,83565.24,1380198.27,5750.95,192960.36,583.34
32.109,55787.21,8968.93,2900.24,79881.46,1355499.35,5100.75,200716.48,433.34
32.345,47713.81,8568.73,3700.39,81020.01,1370628.84,4800.66,210332.13,350.00
32.581,53781.06,6001.01,1900.10,81388.38,1297640.65,4700.64,201728.41,316.67
32.817,62108.07,6767.95,1800.09,81287.91,1377217.12,4750.65,198659.07,416.67
33.053,54182.26,7134.76,2300.15,80986.52,1311690.36,4450.57,206114.07,400.00
33.289,50020.12,7601.62,1700.08,84101.11,1409900.13,5650.92,208442.34,433.34
33.525,53831.20,8235.24,3300.31,79245.25,1198948.37,5150.76,202976.49,200.00
33.761,51373.96,7334.85,1600.07,75261.09,1289024.74,4750.65,186690.63,216.67
33.997,53680.75,6834.65,1800.09,96296.93,1353982.94,5050.73,214179.99,550.01
34.233,51674.84,8235.24,1500.06,73855.14,1239494.85,5400.84,197917.11,266.67
34.469,53329.70,6834.65,2300.15,84469.55,1252832.25,5250.79,211614.69,350.00
34.706,50020.12,7501.58,1600.07,75662.83,1333253.06,4300.53,196264.73,416.67
34.942,53429.99,6467.84,2400.16,78676.04,1314539.29,5100.75,192016.39,433.34
35.178,59750.03,7634.97,1500.06,85038.96,1344677.76,4150.50,207295.02,366.67
35.414,56790.38,6567.88,2700.21,80149.35,1321960.48,4750.65,246177.38,333.34
35.650,57442.46,8401.98,2300.15,77872.47,1269840.07,5250.79,195489.13,333.34
35.886,57843.75,7468.23,3100.27,96430.99,1359611.94,4700.64,255412.73,333.34
36.122,57743.43,7101.42,2700.21,80618.17,1187678.84,3800.42,203347.58,366.67
36.358,61505.99,7801.71,1600.07,78240.77,1393834.31,3800.42,197242.65,416.67
36.594,56088.15,7234.80,3500.34,99548.33,1274883.23,4150.50,192016.39,350.00
36.830,58546.03,12037.40,1300.05,75428.49,1205249.54,3600.37,198793.98,300.00
37.066,62258.60,8502.03,2200.14,81421.85,1131974.15,3500.35,195017.08,366.67
37.302,57944.07,8235.24,1300.05,75595.88,1244296.81,4250.52,197546.16,483.34
37.538,59398.85,7801.71,1200.04,79312.23,1306813.70,3850.43,180389.52,500.01
37.774,56037.99,7334.85,1100.03,69504.09,1344407.74,3650.38,201458.52,366.67
38.010,59148.02,8635.43,900.02,81957.68,1201205.79,3900.44,189151.06,266.67
38.246,90127.39,8201.89,1300.05,75662.83,1273740.17,4450.57,196163.53,433.34
38.482,96108.53,7568.28,1600.07,71579.08,1219477.27,3200.29,193466.09,350.00
38.718,104455.31,7134.76,2400.16,69370.23,1183031.96,3900.44,182444.71,250.00
38.954,80983.64,7835.06,2200.14,72047.65,1211665.46,5700.94,207497.50,333.34
39.190,56539.58,8201.89,2100.12,71143.97,2029618.80,6401.18,195758.91,666.68
39.426,58144.73,7568.28,800.02,73353.05,1335470.24,5200.78,191038.77,433.34
39.662,61505.99,9102.33,1700.08,70575.02,1241263.99,4150.50,193466.09,466.67
39.898,64064.99,7968.45,2000.11,74357.27,1257927.08,4650.62,185241.51,300.00
40.134,55385.96,16707.84,1900.10,81488.84,1355212.14,5050.73,188645.45,316.67
40.370,60803.58,7735.01,2200.14,76667.18,1239736.06,5500.87,179345.17,450.01
40.606,55335.80,8502.03,1000.03,74692.02,1216708.62,5300.81,199839.52,450.01
40.842,78572.88,8268.59,700.01,73821.67,1133369.95,4850.68,189960.06,400.00
41.078,57643.10,7634.97,1500.06,72382.37,1188454.23,6201.11,187600.64,316.67
41.314,56338.94,7735.01,1600.07,78743.00,1169838.11,14606.14,174461.19,400.00
41.550,62760.35,6701.26,1400.06,66024.01,1187506.47,5901.00,184904.55,350.00
41.786,60000.87,7368.19,1100.03,71679.49,1230005.89,4350.54,183556.64,300.00
42.022,52978.66,7701.67,1900.10,66392.08,1237507.45,5250.79,189049.96,283.34
42.258,57542.78,8168.54,4200.50,64919.91,1213245.05,4350.54,166144.83,250.00
42.494,59148.02,7768.36,1500.06,76600.21,1180665.46,4000.46,187196.20,200.00
42.730,51975.71,7701.67,1900.10,69939.15,1150848.76,5250.79,180389.52,300.00
42.966,55586.57,7134.76,1400.06,78374.70,1536881.28,5500.87,189589.25,433.34
43.202,53279.55,6734.61,700.01,71110.51,1130130.40,6151.09,188780.29,300.00
43.438,49418.44,6501.19,1000.03,73721.26,1107518.19,5050.73,189488.16,266.67
43.675,50020.12,5934.32,1800.09,67931.28,1228460.77,5700.94,191510.71,283.34
43.911,50270.83,7568.28,1400.06,68466.68,1160366.43,5951.02,193567.27,250.00
44.147,47262.60,7301.50,1900.10,69972.61,1148959.01,6051.05,191005.08,216.67
44.383,46159.73,6968.03,1000.03,64752.63,1271695.34,5650.92,169309.28,316.67
44.619,45909.08,6234.42,1200.04,65856.72,1057010.08,35636.52,185881.79,416.67
44.855,42600.87,6234.42,34834.11,73185.69,1065638.11,5550.89,185814.42,400.00
45.091,44856.40,6301.12,1600.07,66392.08,1102038.70,7551.64,174259.13,200.00
45.326,42500.64,6201.08,2300.15,71277.85,1085290.45,5650.92,185915.53,266.67
45.563,43904.03,6101.05,1700.08,64986.82,1067177.47,5700.94,181164.39,316.67
45.799,43452.92,4667.28,1900.10,68299.37,1149326.59,6251.12,185915.53,333.34
46.035,41648.63,5867.63,1900.10,64083.51,1090795.92,5901.00,193971.85,200.00
46.271,39193.07,7468.23,2600.19,64986.82,1050143.48,5800.97,200075.61,333.34
46.506,41949.33,5067.39,1100.03,68098.59,1204491.34,6251.12,181130.72,250.00
46.743,48666.38,6234.42,800.02,71980.72,1119498.36,5750.95,186690.63,366.67
46.979,43252.44,5867.63,1700.08,62143.21,1185812.04,6151.09,183320.77,266.67
47.215,38842.30,5300.79,1900.10,64351.15,1013092.01,6751.31,179277.82,416.67
47.451,45006.78,6067.70,1500.06,70374.21,1146776.00,6601.25,194410.16,266.67
47.687,44154.65,6701.26,2300.15,68634.00,1154766.04,5500.87,170790.73,183.33
47.923,51474.26,5467.51,1500.06,66525.91,1147029.03,5300.81,182747.97,400.00
48.159,49167.75,10169.57,1600.07,60336.92,1060171.02,6101.07,203178.91,383.34
48.395,45909.08,4533.91,2300.15,80919.54,1135581.28,5850.99,179345.17,383.34
48.631,47112.21,6067.70,2100.12,64652.26,1091987.72,6001.04,174225.46,766.68
48.867,47011.95,7601.62,2100.12,85842.86,1867565.28,6001.04,172137.59,350.00
49.103,44956.64,6301.12,2000.11,61942.50,1041708.23,6401.18,172070.27,350.00
49.339,42751.23,6034.36,2700.21,67630.12,1041022.87,5750.95,167154.69,283.34
49.575,46159.73,7101.42,2000.11,62076.31,1037789.18,6101.07,179479.95,183.33
49.811,45858.95,6601.22,2100.12,62645.00,1087575.90,5550.89,156251.26,316.67
50.047,42350.28,5600.88,1400.06,60403.82,1050249.63,6851.35,168938.92,216.67
50.282,47663.67,6901.34,1400.06,63882.78,1043938.79,4850.68,171969.23,366.67
50.519,42951.71,5500.85,1900.10,64284.24,1058525.90,6901.37,177155.65,183.33
50.755,49418.44,4934.02,1200.04,58162.93,992739.18,5500.87,168635.92,350.00
50.991,40946.99,5900.98,2800.22,82426.54,955766.62,6701.29,178469.34,150.00
51.227,39193.07,6267.77,1300.05,62912.62,983383.03,5951.02,167558.65,266.67
51.463,42600.87,6901.34,1800.09,66458.99,1008289.96,6401.18,160389.70,250.00
51.699,43452.92,4267.18,1500.06,62243.57,930826.68,5901.00,159178.34,150.00
51.935,43352.68,6634.57,1000.03,61641.44,979948.36,6101.07,167861.64,350.00
52.171,42701.11,5134.07,2000.11,62109.76,1064151.59,5850.99,175741.00,233.33
52.407,47763.94,6134.39,1900.10,66994.36,967219.85,6751.31,166144.83,166.67
52.643,44605.77,6067.70,1800.09,61842.14,1040015.65,7051.43,152786.51,500.01
52.880,39593.95,5667.57,3100.27,58564.27,1014694.16,5400.84,247124.40,300.00
53.116,46761.30,6034.36,1900.10,61909.06,981903.54,7451.60,159447.53,283.34
53.352,44505.52,7368.19,2100.12,59500.74,989989.96,5951.02,153560.13,366.67
53.588,50571.67,5400.82,2000.11,59601.08,1182164.67,7951.82,204460.88,200.00
53.824,97868.07,6334.46,4300.52,58296.71,996492.01,8051.87,160187.80,300.00
54.060,44555.65,5334.13,2000.11,59500.74,936201.88,6651.27,173989.72,283.34
54.296,87765.65,7001.38,2000.11,60035.89,1253613.41,6601.25,201020.02,266.67
54.532,50220.68,5500.85,1800.09,60102.79,899988.20,6751.31,153896.49,400.00
54.768,39944.73,6634.57,2300.15,60939.00,998027.07,7251.51,146430.72,416.67
55.004,39042.73,5067.39,400.00,72148.06,965161.06,6401.18,168905.28,216.67
55.240,39142.95,3967.11,1800.09,61541.09,890458.42,5951.02,158673.64,333.34
