statistic,sample,rep,B11,Mg24,Mg25,Al27,Ca44,Sr86,Sr87,Sr88,Ba138
std,C4-F1_A,0,2.3974554538469632e-05,0.001244989746005819,0.001229125346886015,1.4544716417081968e-05,0.028638772677297017,8.526815373943698e-05,0.00014195652691985404,7.171241050748848e-05,9.829407360513705e-07
std,C4-F1_A,1,2.4162100679357287e-05,0.0007712102206526575,0.000711466849492847,1.127180346726963e-05,0.028783179254278965,8.703518326597417e-05,0.00013598167684622628,6.196336647034367e-05,9.389355508134747e-07
std,C5-F1_A,0,2.5587792173874726e-05,0.0014787644203932443,0.0015546137465509014,1.640415011542425e-05,0.031590869239025966,0.00014085086793408269,0.00030580019763061647,0.00012135096311190653,5.453961170559303e-07
std,C5-F1_A,1,2.227004358354395e-05,0.0017231375917202956,0.0018037685045951255,1.2330543895437071e-05,0.03472955165793637,0.00014002396986672501,0.00031732600194284995,0.00014008405302889227,7.16604143871943e-07
std,C7-F_A,0,2.3174593491293273e-05,0.000713306843939234,0.000803319425214504,1.901456426529535e-05,0.027159736572102765,4.692753273677144e-05,5.019593034709778e-05,3.3902626356118815e-05,3.1282764749470125e-07
std,C7-F_A,1,2.013077221512829e-05,0.000605692748414817,0.0006496222704983605,1.646719598182558e-05,0.025359318028063484,5.7476271645718916e-05,3.3721501646950634e-05,3.889611647842444e-05,3.593629233672736e-07
std,C7-F_A,2,2.505902432734392e-05,0.0004776115461596259,0.0004965433686759417,1.720054064328493e-05,0.040797811429225034,8.63036751273531e-05,9.952624441696102e-05,8.446746545464157e-05,9.897851440713934e-07
std,C7-F_A,3,2.261628447314019e-05,0.00047528793248895066,0.0004887599911955383,1.3729566051421166e-05,0.03051483672829141,7.101459624048385e-05,0.00011046531488894353,4.945969111938038e-05,1.293189467760652e-06
std,C8-F_A,0,2.175021045804205e-05,0.001420841469528621,0.0014958688699376545,1.7817684946200055e-05,0.027839397347733122,7.735362954204784e-05,0.0002541460586477136,7.218969957403726e-05,1.2948408940955747e-06
std,C8-F_A,1,2.3561729496454522e-05,0.001224992179266137,0.0012895937263767779,1.4084561837330548e-05,0.03384932398320894,0.00010026360573448362,0.00018414408411751102,7.715532613404856e-05,9.866674472573942e-07
std,C9-F_A,0,2.9840606323059477e-05,0.0005896002715929515,0.0006033392568313606,1.859361739215083e-05,0.036704278700808515,0.00017055840483693268,0.0002452187224668513,0.0001501777008606933,6.873266178112912e-07
std,C9-F_A,1,3.7799844655163224e-05,0.00047669495496494805,0.0005328699153061972,2.4761695307448945e-05,0.04034999904283875,0.00016987566176034744,0.00023847402197967938,0.0001483988234651475,1.1404481487693809e-06
std,E6-F1_A,0,2.2404997433769074e-05,0.00037327579878536197,0.0004203182824749756,1.3360504209487893e-05,0.02823604575767944,0.0006002976704675789,2.863177805062238e-05,0.00013687727639328067,1.0033162041481921e-06
std,E6-F1_A,1,2.100301193965089e-05,0.000300405347683269,0.0003450997827212579,1.05958187652546e-05,0.022280529634289115,0.00030077453167381946,1.3409356592402772e-05,6.637940285283323e-05,6.257323473170023e-07
std,E6-F1_A,2,2.9621172262475958e-05,0.0016019717555553375,0.0016700899438084787,1.496860191306554e-05,0.03844577191186973,0.000748252997622712,3.7385461108357045e-05,0.00017185079633799883,1.1331410254752321e-06
std,E6-F1_A,3,2.0688955529928174e-05,0.0005639172096731286,0.0005526894472998,1.8842985696682778e-05,0.025668179356377788,0.0001074377761119968,1.4492270762029122e-05,3.849648679767593e-05,4.831067989608483e-07
std,E7-F_A,0,4.586525089337519e-05,9.820383730951648e-05,0.00018438002213333083,4.0604856005218104e-05,0.04905001410791285,0.00027253919832567416,1.732918620205367e-05,5.380900548422464e-05,5.132748660129775e-07
std,E7-F_A,1,3.6452025426606414e-05,0.0001759265887647704,0.00017513096117815265,2.583982684614541e-05,0.04941918026338902,0.000437499203640608,2.0666752132424794e-05,8.293998832146997e-05,6.187369566853434e-07
std,E9-F_A,0,3.0630054817327594e-05,0.0013854425477695534,0.001431341041198813,1.838207955863373e-05,0.033261838560328674,0.00011906017836878467,1.6572523008216708e-05,6.76397714278844e-05,7.022372221005082e-07
