Item,Value,Uncertainty,Uncertainty Type,Unit,Source,SRM
Mn,0.003975509137382613,6.923272538716759e-05,SE,mol/molCa,GeoReM,NIST610
Mo,0.00213805739332697,5.817273780335058e-05,SE,mol/molCa,GeoReM,NIST610
Na2O,1.0635151287014137,0.015433525504102121,SE,mol/molCa,GeoReM,NIST610
Nb,0.002462013514657387,9.445282345650532e-05,SE,mol/molCa,GeoReM,NIST610
Nd,0.0014664449358282006,1.9132513023581444e-05,SE,mol/molCa,GeoReM,NIST610
Ni,0.003844346194757306,3.842697575140344e-05,SE,mol/molCa,GeoReM,NIST610
P,0.006559022594821922,0.0003773224184067287,SE,mol/molCa,GeoReM,NIST610
Pb,0.0010113532310505997,9.133246471544141e-06,SE,mol/molCa,GeoReM,NIST610
Pd,5.593004052133716e-06,1.0388700402012939e-06,SE,mol/molCa,GeoReM,NIST610
Pr,0.0015639629492057328,1.8746122872963177e-05,SE,mol/molCa,GeoReM,NIST610
Pt,7.867365334567927e-06,1.247076149340886e-07,SE,mol/molCa,GeoReM,NIST610
Rb,0.0024501018789347693,2.2126455044817963e-05,SE,mol/molCa,GeoReM,NIST610
Re,0.0001318218980781528,5.124611098085905e-06,SE,mol/molCa,GeoReM,NIST610
Rh,6.166434764240774e-06,1.794216356176086e-07,SE,mol/molCa,GeoReM,NIST610
S,0.008821036491118645,0.00026261468693179697,SE,mol/molCa,GeoReM,NIST610
Sb,0.0015998289992392282,4.1698948399591004e-05,SE,mol/molCa,GeoReM,NIST610
Sc,0.004978604436712685,7.14316199386415e-05,SE,mol/molCa,GeoReM,NIST610
Se,0.0008597159121207275,0.00013371786929115853,SE,mol/molCa,GeoReM,NIST610
SiO2,5.706302498790371,0.05518177112542229,SE,mol/molCa,GeoReM,NIST610
Sm,0.001482002387253049,2.2651296602887234e-05,SE,mol/molCa,GeoReM,NIST610
Sn,0.0017818213928385113,6.335136869060461e-05,SE,mol/molCa,GeoReM,NIST610
Sr,0.0028940660527717378,2.6062513926709815e-05,SE,mol/molCa,GeoReM,NIST610
Ta,0.0012124513731552643,4.7039702577136797e-05,SE,mol/molCa,GeoReM,NIST610
Tb,0.001352605988866638,1.8670367370807456e-05,SE,mol/molCa,GeoReM,NIST610
Te,0.0011642313424627402,,SE,mol/molCa,GeoReM,NIST610
Th,0.0009692368986862617,8.74275260535571e-06,SE,mol/molCa,GeoReM,NIST610
Ti,0.004644994921967631,6.69156099163423e-05,SE,mol/molCa,GeoReM,NIST610
Tl,0.0001434444900616344,3.6701829298910594e-06,SE,mol/molCa,GeoReM,NIST610
Tm,0.001266644290884475,1.86882591250076e-05,SE,mol/molCa,GeoReM,NIST610
U,0.0009537290600393509,8.601646942411591e-06,SE,mol/molCa,GeoReM,NIST610
V,0.004345340398196694,5.898193634861423e-05,SE,mol/molCa,GeoReM,NIST610
W,0.0011880260867573637,4.099323258336751e-05,SE,mol/molCa,GeoReM,NIST610
Y,0.002556198968968444,3.857121240542353e-05,SE,mol/molCa,GeoReM,NIST610
Yb,0.0012792311482589971,1.736377895574972e-05,SE,mol/molCa,GeoReM,NIST610
Zn,0.003459420386646722,7.568948122019813e-05,SE,mol/molCa,GeoReM,NIST610
