Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference,M,g/g,g/g_err,mol/g,mol/g_err
Lu,NIST610,439.0,8.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,174.967,0.000439,8e-06,2.509044562688964e-06,4.572290774831825e-08
Hf,NIST610,435.0,12.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,178.49,0.000435,1.2e-05,2.4371113227631798e-06,6.723065717967393e-08
Ta,NIST610,446.0,33.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,180.9479,0.000446,3.3e-05,2.4647978782843018e-06,1.8237293718247077e-07
W,NIST610,444.0,29.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,183.84,0.000444,2.9e-05,2.4151436031331594e-06,1.5774586597040904e-07
Re,NIST610,49.9,3.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,186.207,4.99e-05,3.7e-06,2.679813326029634e-07,1.9870359331281855e-08
Pt,NIST610,3.12,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,195.078,3.12e-06,8e-08,1.599360255897641e-08,4.100923733070874e-10
Au,NIST610,23.6,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,196.96655,2.36e-05,1.7e-06,1.1981729892715286e-07,8.630907126108469e-09
Tl,NIST610,59.6,2.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,204.3833,5.96e-05,2.8e-06,2.9160895239483854e-07,1.3699749441368253e-08
Pb,NIST610,426.0,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,207.2,0.000426,1e-06,2.0559845559845562e-06,4.826254826254827e-09
Bi,NIST610,384.0,26.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,208.98038,0.000384,2.6e-05,1.8374930699235977e-06,1.2441359327607691e-07
Th,NIST610,457.2,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,232.0381,0.0004572,1e-06,1.9703660735025843e-06,4.3096370811517595e-09
U,NIST610,461.5,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,238.02891,0.0004615,1e-06,1.9388401182024485e-06,4.201170353634775e-09
H2O,NIST612,0.021,,,%m/m,GeoReM 5211,Jochum et al 2011,18.01528,0.00021,,1.1656771362976317e-05,
Na2O,NIST612,13.7,0.3,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,61.97894,0.13699999999999998,0.003,0.004420857,9.68071e-05
Al2O3,NIST612,2.03,0.04,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,101.961276,0.0203,0.0004,0.00039819,7.84612e-06
SiO2,NIST612,72.1,0.6,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,60.0843,0.721,0.006,0.01199980693791889,9.985969712553862e-05
CaO,NIST612,11.9,0.1,95%CL,%m/m,GeoReM 5211,Jochum et al 2011,56.077400000000004,0.11900000000000001,0.001,0.0021220670002532215,1.783249580044724e-05
Li,NIST612,40.2,1.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,6.941,4.02e-05,1.3e-06,5.791672669644144e-06,1.8729289727704942e-07
Be,NIST612,37.5,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,9.012182,3.75e-05,1.5e-06,4.1610344753357176e-06,1.6644137901342873e-07
B,NIST612,34.3,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,10.811,3.43e-05,1.7e-06,3.1726944778466377e-06,1.5724724817315696e-07
F,NIST612,80.0,89.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,18.9984032,8e-05,8.9e-05,4.2108802070270835e-06,4.68460423031763e-06
Mg,NIST612,68.0,5.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,24.305,6.8e-05,5.0999999999999995e-06,2.797778234931084e-06,2.098333676198313e-07
P,NIST612,46.6,6.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,30.973761,4.66e-05,6.9e-06,1.504499243730847e-06,2.2276920132495372e-07
S,NIST612,377.0,70.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,32.065,0.000377,7e-05,1.1757367846561672e-05,2.1830656479026977e-06
Cl,NIST612,142.0,58.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,35.453,0.000142,5.8e-05,4.005302795250049e-06,1.6359687473556538e-06
K,NIST612,62.3,2.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,39.0983,6.23e-05,2.4e-06,1.593419662747485e-06,6.138374302719043e-08
Sc,NIST612,39.9,2.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,44.95591,3.99e-05,2.5e-06,8.875362549662547e-07,5.5610041037985884e-08
Ti,NIST612,44.0,2.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,47.867,4.4e-05,2.3e-06,9.192136545010132e-07,4.804980466709842e-08
V,NIST612,38.8,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,50.9415,3.8799999999999994e-05,1.2e-06,7.616579802322271e-07,2.3556432378316305e-08
Cr,NIST612,36.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,51.9961,3.64e-05,1.5e-06,7.000525039377953e-07,2.8848317469964094e-08
Mn,NIST612,38.7,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,54.938049,3.8700000000000006e-05,9.000000000000001e-07,7.044298205784484e-07,1.638208885066159e-08
Fe,NIST612,51.0,2.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,55.845,5.1e-05,2e-06,9.132420091324201e-07,3.5813412122840004e-08
Co,NIST612,35.5,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.9332,3.55e-05,1e-06,6.023769284545893e-07,1.6968364181819414e-08
Ni,NIST612,38.8,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,58.6934,3.8799999999999994e-05,2.0000000000000002e-07,6.610624022462491e-07,3.4075381559085013e-09
Cu,NIST612,37.8,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,63.546,3.78e-05,1.5e-06,5.948446794448116e-07,2.3604947597016335e-08
Zn,NIST612,39.1,1.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,65.409,3.91e-05,1.7e-06,5.97777064318366e-07,2.5990307144276778e-08
Ga,NIST612,36.9,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,69.723,3.6899999999999996e-05,1.5e-06,5.292371240480186e-07,2.151370422959425e-08
Ge,NIST612,36.1,3.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,72.64,3.61e-05,3.7999999999999996e-06,4.969713656387666e-07,5.231277533039647e-08
As,NIST612,35.7,5.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,74.9216,3.57e-05,5.5e-06,4.764980993465169e-07,7.341007132789477e-08
Se,NIST612,16.3,1.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,78.96,1.63e-05,1.8999999999999998e-06,2.0643363728470113e-07,2.4062816616008105e-08
Rb,NIST612,31.4,0.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,85.4678,3.14e-05,4.0000000000000003e-07,3.6738982400389387e-07,4.680125146546419e-09
Sr,NIST612,78.4,0.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,87.62,7.840000000000001e-05,2.0000000000000002e-07,8.947728829034467e-07,2.2825838849577725e-09
Y,NIST612,38.3,1.4,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,88.90585,3.8299999999999996e-05,1.4e-06,4.307927993489742e-07,1.574699527646381e-08
Zr,NIST612,37.9,1.2,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,91.224,3.79e-05,1.2e-06,4.154608436376392e-07,1.3154433043935805e-08
Nb,NIST612,38.9,2.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,92.90638,3.89e-05,2.1000000000000002e-06,4.1870106229518357e-07,2.2603399249868528e-08
Mo,NIST612,37.4,1.5,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,95.94,3.74e-05,1.5e-06,3.898269751928289e-07,1.563477173233271e-08
Rh,NIST612,0.91,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,102.9055,9.100000000000001e-07,2e-08,8.8430647535846e-09,1.9435307150735384e-10
Pd,NIST612,1.05,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,106.42,1.0500000000000001e-06,1.0000000000000001e-07,9.866566434880662e-09,9.396729937981584e-10
Ag,NIST612,22.0,0.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,107.8682,2.2e-05,3e-07,2.0395260141543105e-07,2.7811718374831505e-09
Cd,NIST612,28.1,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,112.411,2.8100000000000002e-05,1.1e-06,2.499755362019731e-07,9.785519210753396e-09
In,NIST612,38.9,2.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,114.818,3.89e-05,2.1000000000000002e-06,3.3879705272692435e-07,1.828981518577227e-08
Sn,NIST612,38.6,1.3,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,118.71,3.86e-05,1.3e-06,3.251621598854351e-07,1.0951057198214137e-08
Sb,NIST612,34.7,1.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,121.76,3.47e-05,1.8000000000000001e-06,2.849868593955322e-07,1.4783180026281209e-08
Cs,NIST612,42.7,1.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,132.90545,4.27e-05,1.8000000000000001e-06,3.212810309885712e-07,1.354346266462361e-08
Ba,NIST612,39.3,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,137.327,3.93e-05,9.000000000000001e-07,2.861782460841641e-07,6.553700292003758e-09
La,NIST612,36.0,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,138.9055,3.6e-05,7e-07,2.591690033871949e-07,5.0393972880843456e-09
Ce,NIST612,38.4,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.116,3.84e-05,7e-07,2.740586371292357e-07,4.99586057266836e-09
Pr,NIST612,37.9,1.0,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,140.90765,3.79e-05,1e-06,2.689704923756801e-07,7.0968467645298185e-09
Nd,NIST612,35.5,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,144.24,3.55e-05,7e-07,2.461175818080976e-07,4.8530227398779806e-09
Sm,NIST612,37.7,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,150.36,3.77e-05,8.000000000000001e-07,2.5073157754722e-07,5.320563979781857e-09
Eu,NIST612,35.6,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,151.964,3.5600000000000005e-05,8.000000000000001e-07,2.3426601037087734e-07,5.264404727435446e-09
Gd,NIST612,37.3,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,157.25,3.73e-05,9.000000000000001e-07,2.3720190779014308e-07,5.7233704292527824e-09
Tb,NIST612,37.6,1.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,158.92534,3.76e-05,1.1e-06,2.3658908013033037e-07,6.921489046366048e-09
Dy,NIST612,35.5,0.7,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,162.5,3.55e-05,7e-07,2.1846153846153847e-07,4.307692307692307e-09
Ho,NIST612,38.3,0.8,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,164.93032,3.8299999999999996e-05,8.000000000000001e-07,2.3221927902643977e-07,4.85053324337211e-09
Er,NIST612,38.0,0.9,95%CL,ug/g,GeoReM 5211,Jochum et al 2011,167.259,3.8e-05,9.000000000000001e-07,2.2719255765011155e-07,5.380876365397379e-09
