statistic,sample,rep,Mg24,Mg25,Al27,Ca44,Mn55,Sr88,Ba138
mean,412_9,2,0.002402763542395529,0.0024555664381857006,3.980070437935381e-05,0.9802252740199785,7.151837098946836e-05,0.001487139453381066,2.076905240131952e-06
mean,412_10,0,0.009684683651822226,0.00987711686412425,3.964216289731169e-05,0.9989284504245288,2.562031887135157e-05,0.0013605154812288069,1.602361788246198e-06
mean,412_10,1,0.009731713670322972,0.00995160089986366,5.833533840727829e-05,0.9880661722892669,1.390578045259515e-05,0.0013362791734302304,1.8946777516024822e-06
mean,412_10,2,0.008799630776511998,0.009051404582359016,3.139822299432988e-05,0.9887646517134201,1.260931740739574e-05,0.0013485145207354629,1.6100744368654645e-06
mean,412_11,0,0.0029983663826514233,0.0030247682690945532,7.097789703809689e-05,0.9743768939132892,8.38514001609787e-05,0.0013305545117535164,1.2097180535175435e-06
mean,412_11,1,0.0028715240320861582,0.002853712935333231,9.071052993291563e-05,1.0018149737648177,0.000134551629691621,0.0013058018481021708,
mean,412_11,2,,,,0.9838093293850093,,,
mean,412_11,3,0.002835481599796441,0.002817237092713184,4.326396548622579e-05,0.9898480379153501,6.858472077723483e-05,0.0013263099439241525,1.219827676080754e-06
mean,412_12,0,0.0038131398637035203,0.0037984716042717857,4.083217677232054e-06,0.9903718884797446,3.981711861881248e-05,0.00148914468739748,1.5623262132709355e-06
mean,412_12,1,0.003590547043731307,0.003632042599233764,1.2451787239511083e-05,0.9836164890394167,1.9155611935744273e-05,0.0014496159071484235,1.5585741037020353e-06
mean,412_12,2,0.0038647227675473435,0.0038343772338008354,2.431172402337791e-05,0.9986860618675811,3.0623919105263246e-05,0.001502454271469039,1.4398921401563403e-06
mean,412_13,0,0.0038055316777087277,0.0037634140075026535,4.60566730225464e-05,0.9679049397808221,7.34223557612924e-05,0.0014201308665664882,1.349506056006331e-06
mean,412_13,1,0.0040677557960361824,0.00408790415663525,3.910169837168446e-05,0.991473447473979,7.630891851797353e-05,0.001435141685185527,1.3411577851416396e-06
mean,412_13,2,0.004006658103366087,0.0040138006942507624,3.9134309729814484e-05,0.9908625092204043,4.966030929448142e-05,0.0014294575663791743,1.3056640245706092e-06
mean,412_13,3,0.004891135057712108,0.004977429564074344,4.8476806040217774e-05,0.989274638529201,4.965437617008658e-05,0.0013630485415889646,9.197725439874695e-07
mean,412_14,0,0.0044227889150631645,0.004391543923540594,5.817331471422372e-05,0.9911554712589001,0.00010740595379942653,0.0013097376980749785,
