# GeoRem Preferred Values Downloaded on Jun 22. 2017
Item,SRM,Value,Uncertainty,Uncertainty_Type,Unit,GeoReM_bibcode,Reference
Ti,NIST614,3.61,0.25,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
V,NIST614,1.01,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cr,NIST614,1.19,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mn,NIST614,1.42,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Fe,NIST614,18.8,6,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Co,NIST614,0.79,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ni,NIST614,1.1,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cu,NIST614,1.37,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Zn,NIST614,2.79,0.38,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ga,NIST614,1.31,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ge,NIST614,0.942,0.096,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
As,NIST614,0.74,0.23,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Se,NIST614,0.4,0.08,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Rb,NIST614,0.855,0.005,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sr,NIST614,45.8,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Y,NIST614,0.79,0.032,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Zr,NIST614,0.848,0.028,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Nb,NIST614,0.824,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Mo,NIST614,0.8,0.03,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Rh,NIST614,1.54,0.18,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pd,NIST614,2.05,0.1,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ag,NIST614,0.42,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cd,NIST614,0.56,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
In,NIST614,0.79,0.05,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sn,NIST614,1.68,0.15,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sb,NIST614,0.79,0.064,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Cs,NIST614,0.664,0.034,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ba,NIST614,3.2,0.09,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
La,NIST614,0.72,0.013,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ce,NIST614,0.813,0.025,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pr,NIST614,0.768,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Nd,NIST614,0.752,0.014,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Sm,NIST614,0.754,0.013,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Eu,NIST614,0.77,0.016,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Gd,NIST614,0.763,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tb,NIST614,0.739,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Dy,NIST614,0.746,0.022,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ho,NIST614,0.749,0.015,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Er,NIST614,0.74,0.017,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tm,NIST614,0.732,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Yb,NIST614,0.777,0.021,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Lu,NIST614,0.732,0.018,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Hf,NIST614,0.711,0.022,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ta,NIST614,0.808,0.026,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
W,NIST614,0.806,0.071,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Re,NIST614,0.17,0.008,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Ir,NIST614,0.002,,,ug/g,GeoReM 5211,Jochum et al 2011
Pt,NIST614,2.36,0.12,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Au,NIST614,0.48,0.07,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Tl,NIST614,0.273,0.02,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Pb,NIST614,2.32,0.04,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Bi,NIST614,0.581,0.043,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
Th,NIST614,0.748,0.006,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
U,NIST614,0.823,0.002,95%CL,ug/g,GeoReM 5211,Jochum et al 2011
