Date: "11:43:01 29/03/2019"

Cycle,Timestamp,C(13),Mode,Na(23),Mode,Mg(24),Mode,Mg(25),Mode,Al(27),Mode,Si(29),Mode,Ca(43),Mode,Ca(44),Mode,Mn(55),Mode,Zn(66),Mode,Sr(86),Mode,Sr(88),Mode,Ba(137),Mode,Ba(138),Mode,Th(232),Mode,U(238),Mode,Th(248),Mode
37,269.27499,36283.38,1,174127.90,1,188.68,1,00.00E00,1,2034.16,1,16006.51,1,3067.18,1,11709.96,1,1217.14,1,00.00E00,1,963.65,1,1435.92,1,00.00E00,1,1052.65,1,00.00E00,1,54.35,1,00.00E00,1

38,270.37499,46316.12,1,164610.43,1,200.00,1,00.00E00,1,2679.42,1,13818.68,1,2602.57,1,10890.10,1,1050.47,1,239.92,1,1045.47,1,1102.58,1,84.03,1,929.84,1,00.00E00,1,00.00E00,1,00.00E00,1

39,271.47499,41399.53,1,177013.16,1,777.37,1,00.00E00,1,2389.31,1,13639.76,1,2478.53,1,11789.56,1,1100.17,1,00.00E00,1,1436.39,1,1940.22,1,95.24,1,1157.91,1,00.00E00,1,00.00E00,1,00.00E00,1

40,272.57499,41444.02,1,173933.77,1,188.68,1,192.31,1,2793.70,1,11276.41,1,2768.65,1,14031.68,1,1308.89,1,00.00E00,1,936.37,1,621.80,1,179.27,1,807.03,1,00.00E00,1,00.00E00,1,00.00E00,1

41,273.67499,43379.44,1,167527.84,1,188.68,1,00.00E00,1,2691.72,1,14051.29,1,2478.53,1,11346.46,1,958.73,1,00.00E00,1,2309.16,1,1414.56,1,179.27,1,1175.46,1,00.00E00,1,00.00E00,1,00.00E00,1

42,274.77499,42089.15,1,173787.42,1,577.36,1,00.00E00,1,2287.34,1,14383.11,1,2751.83,1,10306.39,1,1133.81,1,82.64,1,1709.13,1,1066.25,1,00.00E00,1,298.25,1,00.00E00,1,00.00E00,1,00.00E00,1

43,275.87499,39753.39,1,176335.14,1,00.00E00,1,00.00E00,1,2846.45,1,14425.41,1,2428.08,1,10712.33,1,1575.72,1,00.00E00,1,2118.24,1,732.91,1,168.07,1,894.75,1,00.00E00,1,00.00E00,1,00.00E00,1

44,276.97499,44046.85,1,167023.18,1,00.00E00,1,00.00E00,1,3500.51,1,13182.69,1,2312.45,1,14079.44,1,1558.90,1,00.00E00,1,1281.84,1,844.03,1,84.03,1,543.86,1,00.00E00,1,00.00E00,1,00.00E00,1

45,278.07499,43134.73,1,156271.47,1,388.68,1,00.00E00,1,2275.03,1,15259.87,1,2735.01,1,11136.85,1,1200.32,1,82.64,1,1554.58,1,1576.95,1,00.00E00,1,1245.63,1,00.00E00,1,00.00E00,1,00.00E00,1

46,279.17499,40531.96,1,168605.88,1,388.68,1,217.39,1,3741.39,1,14874.35,1,2304.04,1,12405.14,1,1208.73,1,157.27,1,2081.87,1,1000.01,1,00.00E00,1,842.11,1,00.00E00,1,00.00E00,1,00.00E00,1

47,280.27499,36928.42,1,171902.87,1,777.37,1,00.00E00,1,3022.27,1,11364.24,1,3075.59,1,10964.39,1,1292.07,1,82.64,1,1254.57,1,1673.11,1,95.24,1,964.92,1,00.00E00,1,00.00E00,1,00.00E00,1

