statistic,sample,rep,Li7,Mg24,Al27,P31,Ca43,Ti49,Y89,La139,Ce140,Pr141,Nd146,Sm147,Eu153,Gd157,Tb159,Dy163,Ho165,Er166,Tm169,Yb172,Lu175,Hf177,Pb206,Th232,U238
H15_mean,135,0,0.00016492611090327682,2.1204407385331398e-07,9.27045363611963e-05,0.010312355281344871,0.00011914644336681894,2.0919429781134266e-05,0.00741162284358549,-1.301639625847574e-09,2.6318020410921644e-06,6.713214741528732e-08,1.2864989507478959e-06,5.832995836957473e-06,2.457836703267223e-07,4.914324580765309e-05,2.251076177272646e-05,0.00031764103675932965,0.0001317923013308798,0.0006505477356835551,0.0001330480670674621,0.001150961087469063,0.00021053570919368132,0.011881931224884715,0.00013293900977471193,8.887101491479363e-05,0.00043488337287154967
H15_mean,Temora-6,0,7.700086708317507e-06,-2.3309994106558237e-06,2.7758822475005847e-05,0.0009345614155880506,-0.00023781797009567372,3.739486905700526e-05,0.0026489017478374334,2.9167326239925666e-08,4.438305809556461e-06,2.859055247659229e-07,3.997964270381199e-06,5.788641682890315e-06,1.4754827548349676e-06,2.73107022566047e-05,9.460722698916288e-06,0.00011861915043784748,4.605460815715099e-05,0.00022614626919310106,4.685211919174702e-05,0.0004347851439543019,8.630982631087074e-05,0.0070670029214743866,3.39430460019757e-05,5.805308589086936e-05,0.00011034201397843276
H15_mean,139,0,0.00018309300694534431,1.2276049679214587e-05,0.00010679046724866414,0.007068780195784397,0.0003497891358213924,3.132645230012755e-05,0.004352949172137681,6.277124258608984e-07,3.3454540750055205e-06,4.454135041995883e-07,3.10144025127904e-06,5.294489329357268e-06,3.9195936768858014e-07,3.3911452439548555e-05,1.4050522950033457e-05,0.00019218633040188747,7.77990239373984e-05,0.00039273256264297184,8.357569251437195e-05,0.0007560531275287276,0.00014780557677082672,0.011320694555257482,0.00014177720645389548,6.327905120182703e-05,0.00042645963122823685
H15_mean,140,0,0.00011368264189381607,2.431255212442951e-06,4.969803437289389e-05,0.004702428178498611,-0.00010961271470269078,2.3750747858769823e-05,0.004326955634262866,1.8617683267937856e-08,3.2850311808042217e-06,2.0500505776787232e-07,2.9491477845375262e-06,6.874692261445801e-06,3.83728323466286e-07,4.521917735392288e-05,1.6422563174948075e-05,0.00021103384964103806,7.986156237151763e-05,0.0003785721492971151,7.65872032023997e-05,0.0006588014902568103,0.00012395868189345625,0.010183860674433038,0.000116571889805734,0.00013744493193271516,0.00036440605577512313
H15_mean,141,0,0.0002724782120668704,8.410245830874358e-06,0.00015783706307605902,0.007662330020193403,2.6289386760406015e-05,1.2343145348279004e-05,0.005271528046376152,6.17016196511761e-07,4.426734499003902e-06,7.158459526797503e-07,4.652051834746753e-06,5.9897171775746665e-06,3.5008580129835094e-07,3.743067043570073e-05,1.6226286199711666e-05,0.00023015643383258826,9.388003876270122e-05,0.0004798502619955399,0.00010531366970042328,0.000964455493769834,0.0001806550320465018,0.012520003895737496,0.00017005609219779123,7.67490594805027e-05,0.0005819964384874041
H15_mean,143,0,0.0002071751109609346,0.0020502145276964,0.0023835012943057418,0.006045023416560276,0.0004077751537600192,8.702555061544511e-05,0.004443927830793958,3.4893462833432276e-06,1.8931409500755746e-05,3.714671530456697e-06,2.0653309393236078e-05,1.6621533221623664e-05,1.3809399497437156e-06,5.340839379566066e-05,1.8115746029750304e-05,0.00021234188091721909,7.81679538604663e-05,0.0003769715002602534,7.717279136900695e-05,0.0006780666369351931,0.00012910304293966882,0.011574460975385592,0.00011759496344181492,0.00013330857042236302,0.000427047610218297
H15_mean,144,0,0.00013090108764147722,7.544237470713336e-06,0.0001272339798521885,0.005387938876519752,-9.35446583580123e-05,2.407520378662107e-05,0.003580790017755191,1.0417809537050842e-07,1.6782359883400346e-06,1.3772203079284451e-07,1.9765985394547387e-06,4.434796960883506e-06,1.8557331916888774e-07,3.084458240818922e-05,1.2828055731889566e-05,0.00016749828590857858,6.40381154508969e-05,0.0003181232420049303,6.698947230690739e-05,0.0006025935441931951,0.0001135873324602673,0.011676760909468335,9.299036747838006e-05,6.18579518274044e-05,0.0002978444712704449
H15_mean,146,0,0.00014612611909048224,1.5544036880824108e-05,0.00012163171423345947,0.00483165614685285,-0.00023836247609841722,2.361073058866412e-05,0.003098144237402783,9.591596918064954e-08,2.4932966991852625e-06,2.298929396547724e-07,1.738820152702726e-06,2.5470143459566913e-06,2.5282739166803274e-07,1.954060817425364e-05,8.895603198269947e-06,0.00013082187240660118,5.4511314781799836e-05,0.0002817207800203232,6.533649773739607e-05,0.000595925731956923,0.0001158282986409066,0.012919209670820407,0.00011072044078641457,3.869245861481602e-05,0.0003668898316029865
H15_mean,147,0,0.00010240760106344352,2.9381347196992487e-06,0.00011308329110645497,0.004563746852454121,-0.0002509713077824017,3.834926109991045e-05,0.0027660272517936583,-2.4786202639841884e-09,2.2505562342734146e-06,8.416362184694163e-08,1.2854887747115036e-06,4.321362745593301e-06,1.5041252955655983e-07,2.79791045575906e-05,1.0354206701966666e-05,0.00013290130970593065,5.035735327398861e-05,0.0002418668068231014,4.835408713014877e-05,0.0004204843049797144,7.918973684999022e-05,0.01050583091906714,7.231940350757476e-05,7.758777843612495e-05,0.00022562094657494812
H15_mean,148,0,0.00015407322318558938,1.4406057702141591e-06,6.613821978742148e-05,0.005143363192038146,-0.0003569518913815919,1.885236242651063e-05,0.003464854606568117,1.0889781622258061e-07,2.104274336715624e-06,1.2497548499733077e-07,1.4469621379568e-06,3.2802274723583988e-06,2.78607002837273e-07,2.6322684410129532e-05,1.0969910791901677e-05,0.00015087390923404693,6.176810485555617e-05,0.00031940517926469286,6.912156363908667e-05,0.0006484494955068112,0.00012138317421328689,0.01196582262028153,0.000115344208318203,6.042650881024776e-05,0.00036512397173218655
H15_mean,149,0,0.00019174192593899973,2.1965903629908974e-05,0.00038324239279673654,0.005653275148293275,0.0002502336522364211,2.426164176069766e-05,0.0040434330420661534,1.311446388762244e-06,8.04553917594828e-06,1.4417599230419445e-06,9.643660497431014e-06,7.815252934693329e-06,8.404403221674867e-07,3.49664747686038e-05,1.3480221051970155e-05,0.0001869763807155133,7.067353155860611e-05,0.00035908906359308326,7.981459559140433e-05,0.0007189746805851023,0.00013411479617321618,0.012261087682601451,0.00011489374354904899,6.715235183463826e-05,0.00040775133806721537
