statistic,sample,rep,11B,24Mg,25Mg,27Al,55Mn,57Fe,63Cu,66Zn,88Sr
mean,1308H1-9d,0,3.251380203190149e-05,0.0023954167637770763,0.002267521658489921,3.992023270243367e-05,7.558805465984052e-06,0.0006152587451208275,3.457275834207341e-05,1.5298070543978663e-05,0.0013760647903117624
mean,1308H1-9e,0,7.056310633079266e-05,0.003997283861446377,0.00390915496371049,0.0004377688368210225,6.323983722430915e-06,0.0008720080177571797,2.015913338687282e-05,1.1932336181730051e-05,0.0013533054967717886
mean,1308H1-10a,0,4.607003914917301e-05,0.0025691881815995917,0.0025106838246639514,0.00019997048959294442,9.823230223362244e-06,0.0006782420387706692,3.318922272967813e-05,1.7029504232224204e-05,0.0014016122339167937
mean,1308H1-10b,0,5.835325720356453e-05,0.0031158770493614416,0.0030701983079700003,0.00030977990923335456,1.4996614198445328e-05,0.0007132840249386794,3.224428167256046e-05,2.4421595964833753e-05,0.0014338801801750253
mean,1308H1-10c,0,3.5222375672001586e-05,0.0031116253289910855,0.002988950400771053,0.00010650681258258172,3.402629406664167e-05,0.0006557690572442575,3.0245265649660353e-05,2.627449583261722e-05,0.001356559222979879
mean,1308H1-10d,0,6.690669591027614e-05,0.0037324761089714666,0.003504077118629944,0.00033955364206904114,1.0768500181884142e-05,0.000712791798059668,3.3826464408001575e-05,2.81207339205795e-05,0.0013898705785766214
mean,1308H1-10e,0,3.458981493776638e-05,0.003013758954750415,0.002862080630006354,7.695066116938666e-05,1.6570121678860376e-05,0.0006207603671426263,3.6956648808233494e-05,7.012724209024262e-05,0.00140975967923628
mean,NIST612_2,0,,,,,,,,,
mean,NIST612_3,0,,,,,,,,,
mean,NIST612_3,1,,,,,,,,,
mean,1308H1-11a,0,9.373764720429451e-05,0.0016047438785123452,0.0015680483347105133,4.5534372571934866e-05,4.036561197985874e-06,0.0006110610746754342,3.54590245497641e-05,5.382117568279108e-05,0.0014266913974139862
mean,1308H1-11b,0,9.6969602222264e-05,0.0016045250248903566,0.0015474956159336863,4.130855510563368e-05,3.0399525266770805e-06,0.0006111909099253595,3.1931703792943774e-05,5.3457886895409354e-05,0.0014245524730634824
mean,1308H1-11c,0,0.00010483658550709631,0.0020353123919901665,0.0019838196123521897,2.3911619328142575e-05,6.820306572968301e-06,0.000596809715429463,8.485984537079024e-05,4.169617223065838e-05,0.0014469632067667386
mean,1308H1-11d,0,0.00011168090771450644,0.0018086176637348655,0.0017782977913869372,3.80519073000972e-05,6.492056924595903e-06,0.0006023504481418045,4.870593280659348e-05,5.547527612105646e-05,0.0014428887205240075
mean,1308H1-11e,0,,,,,,,,,
